,id_x,player_fifa_api_id_x,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,id_y,player_name,player_fifa_api_id_y,height,weight,age
23183,23184,201043,208929,2016-05-19 00:00:00,74.0,78.0,right,high,high,67.0,56.0,54.0,73.0,68.0,80.0,64.0,68.0,68.0,78.0,84.0,73.0,88.0,71.0,83.0,75.0,77.0,89.0,68.0,71.0,75.0,69.0,72.0,74.0,60.0,62.0,67.0,69.0,7.0,8.0,9.0,9.0,8.0,1377,Brecht Dejaeghere,201043,172,154,25
23213,23214,152027,6803,2009-08-30 00:00:00,63.0,65.0,right,,_0,50.0,46.0,65.0,63.0,,48.0,,32.0,58.0,52.0,53.0,63.0,,65.0,,54.0,,70.0,65.0,46.0,77.0,58.0,71.0,,43.0,57.0,60.0,,10.0,25.0,58.0,25.0,25.0,1378,Brecht Verbrugghe,152027,182,165,27
23216,23217,46815,26777,2016-03-24 00:00:00,72.0,72.0,right,medium,medium,34.0,34.0,80.0,66.0,38.0,35.0,37.0,40.0,59.0,54.0,33.0,30.0,22.0,72.0,28.0,63.0,29.0,69.0,86.0,39.0,77.0,73.0,19.0,27.0,44.0,71.0,76.0,74.0,8.0,14.0,10.0,9.0,14.0,1379,Brede Hangeland,46815,195,203,35
23244,23245,222357,527103,2016-04-14 00:00:00,76.0,88.0,right,high,medium,57.0,76.0,66.0,72.0,66.0,77.0,63.0,51.0,70.0,82.0,84.0,87.0,81.0,73.0,73.0,75.0,72.0,81.0,85.0,61.0,63.0,41.0,78.0,69.0,56.0,24.0,28.0,22.0,13.0,6.0,7.0,7.0,12.0,1380,Breel Embolo,222357,185,185,19
23272,23273,190970,200871,2016-05-12 00:00:00,69.0,70.0,right,high,low,68.0,51.0,42.0,74.0,52.0,72.0,82.0,74.0,72.0,78.0,78.0,74.0,85.0,67.0,89.0,73.0,62.0,55.0,33.0,69.0,46.0,57.0,63.0,73.0,58.0,36.0,45.0,40.0,6.0,6.0,12.0,13.0,14.0,1381,Breitner,190970,170,146,27
23284,23285,209852,316688,2016-03-17 00:00:00,66.0,80.0,left,medium,medium,54.0,30.0,61.0,68.0,32.0,49.0,36.0,34.0,55.0,66.0,81.0,81.0,74.0,63.0,63.0,51.0,64.0,70.0,64.0,40.0,59.0,59.0,34.0,49.0,44.0,64.0,68.0,69.0,6.0,14.0,9.0,8.0,8.0,1382,Brendon Galloway,209852,185,163,20
23300,23301,222708,535800,2016-03-03 00:00:00,65.0,71.0,left,medium,medium,66.0,44.0,53.0,65.0,41.0,67.0,72.0,65.0,62.0,69.0,75.0,78.0,75.0,55.0,71.0,64.0,75.0,74.0,61.0,56.0,52.0,52.0,61.0,50.0,48.0,59.0,67.0,70.0,9.0,7.0,10.0,13.0,9.0,1383,Breno,222708,175,161,21
23324,23325,2151,30842,2014-01-03 00:00:00,63.0,63.0,right,medium,low,69.0,59.0,64.0,61.0,49.0,63.0,67.0,65.0,59.0,64.0,61.0,66.0,60.0,53.0,74.0,68.0,70.0,77.0,71.0,62.0,69.0,37.0,55.0,60.0,58.0,51.0,54.0,50.0,8.0,10.0,5.0,14.0,13.0,1385,Brett Emerton,2151,185,187,35
23336,23337,138336,30503,2014-03-07 00:00:00,74.0,74.0,right,high,high,70.0,64.0,62.0,72.0,68.0,73.0,59.0,60.0,60.0,73.0,78.0,78.0,72.0,74.0,73.0,80.0,73.0,89.0,68.0,74.0,77.0,59.0,78.0,73.0,65.0,43.0,52.0,47.0,12.0,6.0,8.0,14.0,14.0,1386,Brett Holman,138336,177,165,30
23350,23351,15639,23299,2012-02-22 00:00:00,66.0,66.0,right,medium,medium,68.0,65.0,64.0,70.0,62.0,68.0,53.0,55.0,59.0,72.0,52.0,53.0,63.0,69.0,69.0,71.0,70.0,55.0,71.0,60.0,75.0,16.0,69.0,66.0,74.0,37.0,36.0,21.0,7.0,6.0,8.0,6.0,4.0,1387,Brett Ormerod,15639,177,172,36
23360,23361,173982,32561,2010-02-22 00:00:00,60.0,65.0,right,,_0,29.0,23.0,64.0,57.0,,41.0,,9.0,52.0,57.0,57.0,58.0,,54.0,,31.0,,61.0,62.0,23.0,58.0,54.0,56.0,,56.0,57.0,64.0,,7.0,23.0,52.0,23.0,23.0,1388,Brian Allison,173982,177,161,22
23366,23367,188257,67228,2016-04-21 00:00:00,66.0,66.0,left,medium,high,64.0,11.0,67.0,62.0,34.0,57.0,38.0,31.0,48.0,62.0,62.0,72.0,60.0,64.0,63.0,17.0,62.0,82.0,80.0,17.0,69.0,55.0,47.0,52.0,14.0,69.0,69.0,64.0,12.0,9.0,11.0,14.0,10.0,1389,Brian Easton,188257,187,168,28
23386,23387,170114,95793,2016-04-28 00:00:00,62.0,62.0,right,medium,medium,24.0,64.0,65.0,54.0,56.0,61.0,67.0,64.0,39.0,65.0,66.0,60.0,61.0,49.0,54.0,66.0,63.0,63.0,70.0,51.0,59.0,19.0,61.0,44.0,69.0,27.0,29.0,30.0,8.0,8.0,7.0,6.0,16.0,1390,Brian Graham,170114,187,163,28
23399,23400,172529,80678,2016-04-07 00:00:00,68.0,69.0,left,medium,high,70.0,26.0,63.0,66.0,62.0,65.0,69.0,71.0,65.0,66.0,77.0,78.0,65.0,68.0,65.0,71.0,76.0,70.0,73.0,57.0,67.0,63.0,44.0,59.0,57.0,69.0,69.0,67.0,7.0,7.0,16.0,6.0,6.0,1391,Brian Hamalainen,172529,175,176,27
23418,23419,51503,24788,2015-10-09 00:00:00,62.0,62.0,left,medium,medium,20.0,13.0,12.0,28.0,19.0,20.0,19.0,12.0,26.0,20.0,22.0,23.0,25.0,61.0,35.0,24.0,61.0,27.0,80.0,19.0,38.0,24.0,18.0,35.0,22.0,20.0,20.0,19.0,63.0,62.0,58.0,61.0,63.0,1392,Brian Jensen,51503,185,172,40
23441,23442,53443,32825,2009-02-22 00:00:00,63.0,71.0,right,,_0,61.0,45.0,66.0,73.0,,64.0,,46.0,65.0,70.0,67.0,67.0,,64.0,,71.0,,64.0,70.0,44.0,65.0,71.0,69.0,,71.0,43.0,55.0,,14.0,21.0,65.0,21.0,21.0,1393,Brian Kerr,53443,177,146,28
23445,23446,164771,35500,2014-03-28 00:00:00,57.0,57.0,right,medium,medium,52.0,34.0,62.0,57.0,25.0,53.0,49.0,31.0,56.0,55.0,60.0,70.0,64.0,56.0,62.0,35.0,60.0,72.0,71.0,22.0,53.0,53.0,43.0,53.0,21.0,56.0,56.0,51.0,9.0,14.0,15.0,6.0,8.0,1394,Brian McLean,164771,187,174,29
23461,23462,201426,195134,2011-02-22 00:00:00,56.0,64.0,right,,_0,45.0,34.0,56.0,48.0,30.0,35.0,33.0,37.0,50.0,44.0,59.0,68.0,69.0,63.0,61.0,30.0,60.0,58.0,64.0,35.0,64.0,45.0,45.0,46.0,31.0,53.0,53.0,50.0,13.0,14.0,13.0,7.0,12.0,1395,Brian McQueen,201426,185,163,20
23463,23464,148828,26670,2013-05-24 00:00:00,66.0,66.0,left,medium,medium,12.0,12.0,13.0,35.0,17.0,11.0,13.0,12.0,21.0,25.0,32.0,45.0,41.0,63.0,31.0,25.0,42.0,32.0,69.0,15.0,37.0,12.0,12.0,16.0,30.0,15.0,11.0,12.0,69.0,70.0,68.0,62.0,64.0,1396,Brian van Loo,148828,198,209,38
23475,23476,148634,26483,2015-09-21 00:00:00,67.0,67.0,left,medium,medium,11.0,13.0,14.0,33.0,14.0,18.0,15.0,11.0,34.0,25.0,50.0,47.0,54.0,64.0,30.0,12.0,67.0,38.0,67.0,12.0,39.0,15.0,11.0,47.0,26.0,16.0,11.0,11.0,67.0,68.0,62.0,72.0,65.0,1397,Brian Vandenbussche,148634,195,203,34
23493,23494,199286,210691,2016-04-28 00:00:00,76.0,79.0,right,high,medium,71.0,58.0,58.0,76.0,31.0,70.0,56.0,47.0,66.0,75.0,82.0,84.0,77.0,74.0,87.0,72.0,67.0,85.0,72.0,53.0,85.0,72.0,68.0,68.0,58.0,72.0,77.0,79.0,7.0,7.0,14.0,14.0,8.0,1398,Brice Dja Djedje,199286,170,157,26
23515,23516,179071,104392,2013-02-15 00:00:00,70.0,70.0,right,medium,medium,59.0,74.0,68.0,70.0,69.0,71.0,57.0,70.0,58.0,71.0,71.0,69.0,91.0,67.0,76.0,71.0,80.0,73.0,72.0,68.0,54.0,48.0,70.0,57.0,69.0,18.0,30.0,12.0,14.0,15.0,6.0,10.0,5.0,1399,Brice Jovial,179071,172,148,29
23524,23525,196316,186806,2014-01-17 00:00:00,60.0,64.0,right,medium,medium,25.0,25.0,25.0,36.0,25.0,25.0,25.0,25.0,35.0,25.0,47.0,40.0,31.0,62.0,33.0,35.0,65.0,40.0,62.0,25.0,22.0,25.0,25.0,30.0,25.0,25.0,25.0,25.0,60.0,59.0,56.0,58.0,61.0,1400,Brice Maubleu,196316,193,183,25
23532,23533,204685,427980,2015-05-15 00:00:00,64.0,70.0,right,medium,medium,46.0,36.0,65.0,64.0,36.0,58.0,34.0,44.0,61.0,62.0,74.0,83.0,63.0,61.0,59.0,65.0,71.0,82.0,82.0,57.0,74.0,62.0,42.0,52.0,53.0,56.0,66.0,57.0,6.0,9.0,11.0,11.0,12.0,1401,Brice Ntambwe,204685,187,185,22
23541,23542,198585,195737,2011-02-22 00:00:00,59.0,70.0,right,None,o,50.0,56.0,58.0,63.0,44.0,56.0,43.0,52.0,56.0,61.0,65.0,65.0,64.0,55.0,58.0,64.0,57.0,63.0,66.0,54.0,52.0,40.0,62.0,52.0,61.0,30.0,49.0,47.0,10.0,14.0,7.0,8.0,7.0,1402,Brice Owona,198585,182,170,22
23545,23546,20537,11796,2016-04-07 00:00:00,64.0,64.0,right,low,medium,68.0,44.0,56.0,66.0,42.0,55.0,49.0,61.0,59.0,60.0,53.0,51.0,67.0,66.0,78.0,53.0,73.0,34.0,65.0,54.0,68.0,71.0,41.0,54.0,36.0,72.0,75.0,70.0,11.0,6.0,15.0,6.0,10.0,1403,Briguel,20537,175,161,37
23576,23577,209719,363910,2015-02-13 00:00:00,68.0,68.0,right,medium,medium,64.0,58.0,59.0,61.0,65.0,73.0,62.0,48.0,52.0,71.0,85.0,84.0,80.0,63.0,72.0,72.0,77.0,74.0,61.0,58.0,58.0,25.0,62.0,60.0,61.0,21.0,21.0,25.0,12.0,13.0,5.0,12.0,9.0,1404,Brito,209719,177,150,28
23586,23587,186954,115160,2016-01-07 00:00:00,75.0,76.0,right,high,medium,60.0,76.0,76.0,69.0,74.0,74.0,48.0,49.0,50.0,70.0,79.0,79.0,75.0,74.0,66.0,76.0,83.0,79.0,79.0,70.0,48.0,49.0,79.0,61.0,69.0,26.0,37.0,27.0,15.0,13.0,13.0,7.0,9.0,1405,Brown Ideye,186954,180,172,28
23600,23601,211368,361322,2015-12-17 00:00:00,76.0,85.0,right,high,medium,73.0,58.0,52.0,72.0,59.0,85.0,75.0,69.0,68.0,80.0,94.0,92.0,93.0,72.0,90.0,74.0,78.0,64.0,59.0,56.0,56.0,32.0,68.0,67.0,71.0,21.0,29.0,18.0,11.0,13.0,8.0,12.0,8.0,1406,Bruma,211368,172,146,21
23635,23636,211120,361371,2014-09-18 00:00:00,64.0,67.0,left,medium,medium,56.0,67.0,56.0,57.0,59.0,66.0,59.0,37.0,51.0,67.0,76.0,73.0,74.0,65.0,67.0,65.0,81.0,68.0,62.0,61.0,32.0,20.0,67.0,53.0,69.0,25.0,25.0,21.0,11.0,8.0,5.0,10.0,13.0,1407,Bruninho,211120,177,154,26
23644,23645,159460,32591,2008-08-30 00:00:00,64.0,65.0,left,None,5,63.0,52.0,66.0,72.0,,62.0,,64.0,62.0,64.0,63.0,69.0,,56.0,,71.0,,68.0,73.0,54.0,58.0,61.0,59.0,,63.0,39.0,57.0,,11.0,20.0,62.0,20.0,20.0,1408,Bruno Aguiar,159460,177,165,26
23648,23649,138110,25920,2016-05-19 00:00:00,78.0,78.0,right,medium,medium,67.0,62.0,79.0,66.0,60.0,68.0,77.0,78.0,74.0,70.0,62.0,60.0,65.0,73.0,63.0,83.0,92.0,71.0,88.0,78.0,90.0,72.0,52.0,56.0,75.0,78.0,79.0,72.0,15.0,13.0,16.0,9.0,15.0,1409,Bruno Alves,138110,187,183,35
23689,23690,13124,31298,2015-01-09 00:00:00,68.0,68.0,right,medium,medium,71.0,62.0,51.0,73.0,68.0,66.0,71.0,77.0,74.0,71.0,53.0,53.0,66.0,68.0,67.0,86.0,68.0,50.0,70.0,77.0,74.0,64.0,65.0,70.0,73.0,60.0,60.0,58.0,15.0,15.0,13.0,9.0,14.0,1411,Bruno Amaro,13124,180,170,32
23709,23710,203799,143523,2015-09-25 00:00:00,68.0,69.0,right,medium,low,60.0,68.0,51.0,63.0,64.0,75.0,72.0,66.0,48.0,65.0,72.0,75.0,75.0,71.0,75.0,66.0,66.0,63.0,69.0,63.0,56.0,47.0,70.0,61.0,73.0,14.0,17.0,16.0,6.0,15.0,15.0,14.0,14.0,1412,Bruno Andrade,203799,175,165,26
23719,23720,191023,171988,2012-02-22 00:00:00,62.0,66.0,left,medium,medium,67.0,40.0,41.0,60.0,46.0,63.0,61.0,68.0,47.0,62.0,83.0,84.0,78.0,67.0,74.0,84.0,70.0,78.0,58.0,67.0,65.0,56.0,53.0,31.0,54.0,54.0,59.0,65.0,6.0,14.0,14.0,9.0,6.0,1413,Bruno Bertucci,191023,175,143,22
23726,23727,192202,172888,2016-04-14 00:00:00,76.0,77.0,left,medium,medium,81.0,74.0,54.0,81.0,82.0,77.0,84.0,83.0,80.0,80.0,70.0,66.0,68.0,68.0,78.0,88.0,58.0,61.0,73.0,86.0,69.0,55.0,73.0,82.0,68.0,47.0,60.0,50.0,16.0,16.0,7.0,13.0,8.0,1414,Bruno Cesar,192202,177,165,28
23753,23754,31486,34101,2012-02-22 00:00:00,63.0,63.0,left,medium,medium,62.0,52.0,65.0,66.0,56.0,58.0,68.0,69.0,64.0,69.0,47.0,45.0,72.0,62.0,55.0,69.0,61.0,68.0,71.0,70.0,64.0,63.0,47.0,69.0,72.0,62.0,63.0,57.0,8.0,7.0,5.0,15.0,13.0,1415,Bruno Cheyrou,31486,185,176,34
23762,23763,182641,19372,2015-04-10 00:00:00,67.0,67.0,right,medium,medium,56.0,47.0,64.0,70.0,37.0,68.0,57.0,44.0,64.0,68.0,55.0,50.0,61.0,67.0,67.0,63.0,78.0,74.0,70.0,55.0,71.0,68.0,48.0,65.0,56.0,62.0,64.0,62.0,15.0,12.0,10.0,11.0,5.0,1416,Bruno China,182641,182,163,33
23780,23781,5401,39441,2014-01-03 00:00:00,65.0,65.0,right,low,medium,45.0,38.0,71.0,60.0,43.0,38.0,36.0,38.0,63.0,54.0,48.0,53.0,37.0,63.0,46.0,65.0,65.0,40.0,75.0,44.0,70.0,65.0,23.0,35.0,53.0,63.0,64.0,60.0,10.0,5.0,13.0,14.0,7.0,1417,Bruno Cirillo,5401,187,170,37
23791,23792,203296,265688,2014-04-18 00:00:00,70.0,75.0,left,high,medium,71.0,58.0,54.0,70.0,50.0,74.0,65.0,62.0,62.0,73.0,74.0,79.0,78.0,67.0,63.0,70.0,74.0,83.0,75.0,59.0,74.0,67.0,69.0,63.0,62.0,66.0,73.0,71.0,15.0,12.0,5.0,6.0,11.0,1418,Bruno Cortez,203296,180,165,27
23806,23807,188270,41083,2016-05-05 00:00:00,75.0,75.0,right,low,high,54.0,23.0,76.0,65.0,26.0,33.0,33.0,25.0,59.0,62.0,62.0,67.0,38.0,71.0,40.0,43.0,58.0,60.0,84.0,29.0,82.0,80.0,23.0,51.0,46.0,74.0,76.0,76.0,12.0,16.0,8.0,14.0,7.0,1419,Bruno Ecuele Manga,188270,187,165,28
23823,23824,212198,422685,2016-05-12 00:00:00,75.0,82.0,right,high,medium,70.0,66.0,58.0,78.0,70.0,78.0,69.0,66.0,74.0,78.0,78.0,78.0,81.0,74.0,78.0,72.0,68.0,76.0,55.0,70.0,60.0,68.0,74.0,74.0,66.0,58.0,66.0,62.0,12.0,14.0,15.0,8.0,14.0,1420,Bruno Fernandes,212198,172,143,22
23855,23856,198013,193992,2010-08-30 00:00:00,64.0,75.0,right,None,5,56.0,58.0,59.0,68.0,53.0,63.0,68.0,65.0,60.0,70.0,71.0,70.0,71.0,72.0,62.0,59.0,63.0,69.0,66.0,57.0,58.0,48.0,65.0,63.0,69.0,53.0,51.0,43.0,13.0,14.0,6.0,7.0,9.0,1421,"Bruno Flavio Di Paula,18",198013,175,152,21
23858,23859,189425,181190,2015-04-24 00:00:00,67.0,70.0,left,medium,medium,65.0,53.0,45.0,70.0,70.0,69.0,68.0,58.0,68.0,72.0,68.0,65.0,69.0,64.0,67.0,69.0,60.0,66.0,72.0,65.0,63.0,57.0,64.0,69.0,69.0,51.0,58.0,56.0,12.0,8.0,9.0,5.0,8.0,1422,Bruno Gallo,189425,180,172,27
23873,23874,225402,361763,2016-04-21 00:00:00,72.0,79.0,right,high,medium,72.0,52.0,63.0,68.0,62.0,70.0,72.0,35.0,65.0,74.0,78.0,80.0,74.0,67.0,74.0,68.0,78.0,75.0,67.0,64.0,72.0,70.0,70.0,65.0,48.0,70.0,72.0,71.0,9.0,10.0,7.0,8.0,10.0,1423,Bruno Gaspar,225402,175,150,23
23893,23894,210361,346111,2016-03-24 00:00:00,66.0,70.0,left,medium,medium,62.0,29.0,68.0,63.0,27.0,43.0,32.0,38.0,53.0,61.0,53.0,52.0,55.0,63.0,57.0,56.0,60.0,67.0,69.0,32.0,65.0,64.0,28.0,46.0,35.0,67.0,70.0,66.0,14.0,11.0,7.0,9.0,10.0,1424,Bruno Godeau,210361,190,172,24
23916,23917,200228,268273,2016-06-02 00:00:00,74.0,76.0,right,medium,medium,21.0,23.0,73.0,65.0,23.0,34.0,49.0,31.0,68.0,69.0,42.0,54.0,33.0,62.0,32.0,66.0,65.0,76.0,89.0,22.0,75.0,70.0,36.0,35.0,42.0,80.0,76.0,76.0,12.0,9.0,8.0,13.0,8.0,1425,Bruno Gonzalez,200228,185,190,26
23931,23932,51910,93471,2016-03-03 00:00:00,68.0,68.0,right,medium,medium,72.0,64.0,36.0,72.0,65.0,63.0,72.0,73.0,69.0,68.0,68.0,68.0,76.0,67.0,86.0,71.0,31.0,60.0,57.0,70.0,63.0,65.0,63.0,71.0,78.0,40.0,52.0,36.0,8.0,16.0,9.0,7.0,15.0,1426,Bruno Grougi,51910,172,154,33
23956,23957,230885,638778,2016-05-05 00:00:00,71.0,75.0,right,high,low,58.0,71.0,65.0,67.0,67.0,74.0,54.0,34.0,48.0,67.0,86.0,84.0,86.0,69.0,68.0,73.0,77.0,62.0,52.0,67.0,42.0,15.0,68.0,63.0,73.0,23.0,28.0,27.0,6.0,14.0,5.0,13.0,12.0,1427,Bruno Henrique,230885,182,157,26
23960,23961,52983,25798,2009-08-30 00:00:00,67.0,68.0,right,,_0,56.0,48.0,66.0,67.0,,57.0,,59.0,64.0,65.0,67.0,65.0,,69.0,,65.0,,75.0,72.0,64.0,75.0,71.0,67.0,,68.0,64.0,65.0,,8.0,21.0,64.0,21.0,21.0,1428,Bruno Lazaroni,52983,180,165,29
23964,23965,219719,252283,2016-04-21 00:00:00,68.0,68.0,right,medium,medium,52.0,73.0,64.0,63.0,63.0,66.0,57.0,56.0,61.0,67.0,69.0,67.0,66.0,66.0,65.0,72.0,58.0,61.0,62.0,69.0,60.0,49.0,70.0,61.0,68.0,40.0,45.0,43.0,11.0,14.0,8.0,7.0,10.0,1429,Bruno Lopes,219719,180,165,30
23974,23975,199837,166507,2015-01-30 00:00:00,63.0,67.0,right,medium,medium,64.0,30.0,61.0,61.0,42.0,57.0,32.0,48.0,57.0,59.0,72.0,72.0,73.0,60.0,67.0,62.0,65.0,75.0,63.0,56.0,55.0,63.0,38.0,49.0,47.0,61.0,64.0,62.0,8.0,6.0,6.0,12.0,10.0,1430,Bruno Martignoni,199837,180,170,23
23981,23982,199550,212511,2016-03-24 00:00:00,78.0,82.0,left,medium,high,71.0,45.0,73.0,69.0,36.0,58.0,30.0,46.0,69.0,66.0,58.0,63.0,53.0,74.0,64.0,63.0,65.0,73.0,85.0,48.0,87.0,76.0,42.0,35.0,42.0,80.0,82.0,79.0,11.0,9.0,7.0,15.0,6.0,1431,Bruno Martins Indi,199550,185,176,24
24010,24011,8387,11861,2010-02-22 00:00:00,66.0,70.0,right,,_0,37.0,48.0,73.0,61.0,,53.0,,44.0,53.0,56.0,66.0,65.0,,67.0,,47.0,,74.0,75.0,55.0,67.0,67.0,68.0,,60.0,64.0,65.0,,10.0,22.0,53.0,22.0,22.0,1432,Bruno Mendes,8387,182,181,34
24027,24028,184141,98383,2015-10-02 00:00:00,70.0,70.0,right,medium,medium,32.0,23.0,74.0,60.0,38.0,46.0,35.0,31.0,49.0,56.0,46.0,34.0,42.0,64.0,48.0,61.0,62.0,32.0,87.0,48.0,70.0,67.0,21.0,42.0,50.0,67.0,74.0,69.0,11.0,10.0,9.0,6.0,13.0,1434,Bruno Miguel,184141,187,185,33
24045,24046,193864,164363,2016-03-10 00:00:00,64.0,64.0,right,medium,medium,53.0,52.0,56.0,70.0,52.0,65.0,69.0,48.0,64.0,70.0,53.0,66.0,65.0,70.0,72.0,64.0,68.0,53.0,62.0,62.0,62.0,57.0,57.0,64.0,54.0,48.0,49.0,44.0,12.0,9.0,15.0,13.0,16.0,1435,Bruno Monteiro,193864,177,161,32
24051,24052,140089,25929,2014-04-18 00:00:00,68.0,68.0,right,medium,medium,32.0,71.0,68.0,65.0,64.0,67.0,52.0,42.0,48.0,68.0,64.0,66.0,75.0,66.0,66.0,71.0,70.0,49.0,74.0,60.0,67.0,25.0,71.0,56.0,68.0,21.0,34.0,25.0,8.0,11.0,10.0,12.0,15.0,1436,Bruno Moraes,140089,180,159,30
24062,24063,210031,164334,2016-04-14 00:00:00,74.0,74.0,right,medium,low,44.0,79.0,82.0,68.0,75.0,68.0,40.0,40.0,46.0,72.0,64.0,55.0,58.0,72.0,56.0,78.0,69.0,69.0,76.0,60.0,72.0,24.0,77.0,53.0,67.0,26.0,29.0,26.0,10.0,10.0,8.0,11.0,8.0,1437,Bruno Moreira,210031,185,172,29
24082,24083,209444,211780,2016-06-02 00:00:00,71.0,75.0,right,medium,medium,36.0,42.0,69.0,62.0,35.0,52.0,36.0,32.0,52.0,58.0,67.0,69.0,65.0,66.0,56.0,42.0,81.0,66.0,79.0,21.0,73.0,66.0,30.0,33.0,40.0,69.0,76.0,69.0,6.0,11.0,14.0,15.0,9.0,1438,Bruno Nascimento,209444,187,176,25
24095,24096,219908,406330,2016-02-04 00:00:00,65.0,74.0,left,high,medium,60.0,57.0,43.0,67.0,64.0,73.0,62.0,68.0,61.0,68.0,70.0,67.0,78.0,63.0,72.0,59.0,53.0,62.0,58.0,54.0,28.0,22.0,59.0,67.0,55.0,12.0,22.0,18.0,12.0,10.0,7.0,13.0,15.0,1439,Bruno Nazario,219908,177,154,21
24109,24110,20642,11829,2011-02-22 00:00:00,69.0,74.0,right,None,4,72.0,36.0,56.0,65.0,53.0,67.0,70.0,72.0,62.0,67.0,73.0,72.0,69.0,74.0,73.0,77.0,69.0,72.0,75.0,62.0,78.0,67.0,46.0,72.0,68.0,68.0,74.0,73.0,15.0,5.0,11.0,14.0,8.0,1440,Bruno Patacas,20642,175,161,34
24116,24117,176031,79013,2015-02-27 00:00:00,69.0,72.0,right,high,medium,71.0,58.0,55.0,67.0,42.0,71.0,65.0,49.0,65.0,67.0,84.0,79.0,78.0,72.0,78.0,65.0,74.0,78.0,65.0,52.0,68.0,70.0,62.0,39.0,59.0,65.0,69.0,69.0,8.0,12.0,9.0,6.0,5.0,1441,Bruno Pereirinha,176031,175,159,27
24140,24141,210282,267911,2016-04-21 00:00:00,80.0,82.0,right,high,medium,78.0,53.0,60.0,75.0,71.0,81.0,69.0,59.0,66.0,80.0,91.0,93.0,83.0,77.0,83.0,87.0,69.0,93.0,69.0,76.0,70.0,77.0,74.0,63.0,59.0,73.0,77.0,79.0,7.0,11.0,14.0,8.0,7.0,1442,Bruno Peres,210282,177,159,26
24172,24173,188411,127829,2011-08-30 00:00:00,63.0,69.0,right,high,medium,31.0,25.0,70.0,55.0,18.0,48.0,62.0,26.0,72.0,54.0,33.0,32.0,31.0,54.0,36.0,54.0,48.0,60.0,83.0,32.0,67.0,68.0,51.0,49.0,50.0,54.0,63.0,61.0,13.0,7.0,11.0,11.0,15.0,1443,Bruno Perone,188411,190,187,24
24177,24178,215455,424875,2016-05-12 00:00:00,67.0,72.0,right,high,medium,49.0,65.0,62.0,70.0,60.0,67.0,50.0,55.0,71.0,72.0,61.0,62.0,65.0,62.0,34.0,71.0,55.0,65.0,91.0,58.0,58.0,11.0,65.0,72.0,60.0,18.0,24.0,14.0,11.0,15.0,9.0,14.0,10.0,1444,Bruno Petkovic,215455,193,194,22
24194,24195,145047,74403,2016-04-21 00:00:00,71.0,71.0,right,high,medium,70.0,32.0,61.0,68.0,56.0,64.0,66.0,51.0,71.0,70.0,68.0,65.0,69.0,75.0,66.0,65.0,56.0,68.0,65.0,46.0,77.0,76.0,57.0,67.0,45.0,70.0,74.0,72.0,9.0,16.0,13.0,8.0,7.0,1445,Bruno Saltor,145047,177,165,36
24228,24229,226865,575118,2016-04-14 00:00:00,64.0,72.0,right,medium,medium,44.0,28.0,60.0,44.0,28.0,60.0,37.0,35.0,29.0,57.0,67.0,69.0,57.0,64.0,62.0,34.0,74.0,73.0,56.0,28.0,58.0,73.0,45.0,39.0,40.0,66.0,68.0,71.0,13.0,10.0,8.0,13.0,7.0,1446,Bruno Santos,226865,182,165,23
24234,24235,186786,113517,2012-02-22 00:00:00,67.0,71.0,right,high,low,65.0,69.0,53.0,64.0,55.0,68.0,52.0,60.0,51.0,59.0,84.0,78.0,77.0,74.0,79.0,68.0,46.0,74.0,33.0,50.0,34.0,33.0,72.0,50.0,58.0,28.0,31.0,22.0,11.0,5.0,12.0,6.0,8.0,1447,Bruno Severino,186786,170,134,26
24237,24238,161214,26468,2011-08-30 00:00:00,66.0,66.0,right,medium,medium,70.0,35.0,58.0,64.0,55.0,66.0,63.0,59.0,63.0,65.0,61.0,68.0,66.0,70.0,67.0,71.0,65.0,53.0,70.0,71.0,73.0,69.0,55.0,62.0,64.0,66.0,67.0,71.0,14.0,12.0,13.0,6.0,6.0,1448,Bruno Silva,161214,177,174,31
24245,24246,184120,42479,2016-05-12 00:00:00,81.0,81.0,left,medium,high,58.0,66.0,61.0,86.0,48.0,74.0,72.0,77.0,84.0,82.0,52.0,55.0,53.0,84.0,59.0,84.0,66.0,75.0,77.0,81.0,79.0,85.0,69.0,81.0,75.0,70.0,84.0,85.0,13.0,10.0,9.0,11.0,8.0,1449,Bruno Soriano,184120,182,161,32
24272,24273,15638,34086,2008-08-30 00:00:00,54.0,57.0,left,,_0,48.0,25.0,38.0,57.0,,40.0,,57.0,48.0,57.0,56.0,59.0,,59.0,,56.0,,63.0,68.0,53.0,58.0,56.0,53.0,,55.0,48.0,53.0,,11.0,20.0,48.0,20.0,20.0,1450,Bruno Sutter,15638,175,161,31
